Date,Player1,Player2,Player1 HP,Player2 HP,Player1 Damage,Player2 Damage,Result,Points,Classed
22/11/2014 18:50:32,NoNameNoFace,OneLove,9123.238399940394,0.0,11120,1206,NoNameNoFace won,2,no
22/11/2014 18:55:55,NoNameNoFace,YpuBaTeJIb,7069.164767940394,0.0,22880,3513,NoNameNoFace won,2,no
22/11/2014 19:19:03,6a6KaBKedaX,OneLove,6111.488250107284,0.0,6889,9031,6a6KaBKedaX won,2,no
22/11/2014 19:23:39,trump,OneLove,0.0,6006.9583999999995,0,6801,OneLove won,1,no
22/11/2014 19:28:51,6a6KaBKedaX,YpuBaTeJIb,9570.483602536418,0.0,22166,4585,6a6KaBKedaX won,2,no
22/11/2014 19:30:52,Cheater,OneLove,3520.26060804768,0.0,4011,19008,Cheater won,2,no
22/11/2014 19:34:45,YpuBaTeJIb,6a6KaBKedaX,0.0,3121.5526403484655,12784,24268,6a6KaBKedaX won,1,no
22/11/2014 19:38:31,OneLove,6a6KaBKedaX,0.0,7727.438272000002,6046,19929,6a6KaBKedaX won,1,no
22/11/2014 19:45:21,YpuBaTeJIb,6a6KaBKedaX,0.0,10158.639842464896,4278,20043,6a6KaBKedaX won,1,no
22/11/2014 19:48:57,6a6KaBKedaX,OneLove,12354.329004,0.0,14919,2142,6a6KaBKedaX won,1,no
22/11/2014 19:55:25,trump,6a6KaBKedaX,1464.0131040000012,0.0,13545,6050,trump won,3,no
22/11/2014 20:01:17,6a6KaBKedaX,NoNameNoFace,7473.320658059602,0.0,10804,7702,6a6KaBKedaX won,4,no
23/11/2014 0:01:00,PlushBunny,,2.68633037E8,118.0,1,10,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,DOMBAI,,2.68557675E8,113.0,0,12,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,IIy3aTbIu,,2.68521802E8,117.0,2,14,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,Cheater,,2.68569781E8,105.0,8,15,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,YpuBaTeJIb,,2.68605206E8,98.0,6,6,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,OneLove,,2.68558276E8,104.0,8,6,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,trump,,2.68504831E8,101.0,2,20,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,6a6KaBKedaX,,2.68552801E8,88.0,8,27,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,NoNameNoFace,,2.68742264E8,88.0,9,34,noble-charId-classId-compdone-points,0,
23/11/2014 0:01:00,NoNameNoFace,,2.68742264E8,88.0,0,0,awarded hero,0,
24/11/2014 18:26:23,PlushBunny,DOMBAI,0.0,0.0,0,0,PlushBunny default,6,no
24/11/2014 18:26:23,PlushBunny,DOMBAI,0.0,0.0,0,0,DOMBAI default,6,no
24/11/2014 18:27:06,YpuBaTeJIb,NoNameNoFace,0.0,9946.19032,0,7209,NoNameNoFace won,3,no
24/11/2014 18:30:45,DOMBAI,NoNameNoFace,0.0,709.6734549530327,15825,7999,NoNameNoFace won,2,no
24/11/2014 18:32:44,DOMBAI,PlushBunny,0.0,0.0,0,0,DOMBAI default,3,no
24/11/2014 18:32:44,DOMBAI,PlushBunny,0.0,0.0,0,0,PlushBunny default,4,no
24/11/2014 18:36:37,NoNameNoFace,OneLove,6577.5204079999985,0.0,17190,2993,NoNameNoFace won,3,no
24/11/2014 18:38:04,DOMBAI,YpuBaTeJIb,0.0,0.0,0,0,DOMBAI default,2,no
24/11/2014 18:38:04,DOMBAI,YpuBaTeJIb,0.0,0.0,0,0,YpuBaTeJIb default,5,no
24/11/2014 18:43:29,OneLove,NoNameNoFace,280.33036799999957,0.0,11701,16407,OneLove won,3,no
24/11/2014 18:46:57,NoNameNoFace,DOMBAI,0.0,8357.517240000001,2509,17727,DOMBAI won,1,no
24/11/2014 18:50:21,OneLove,PlushBunny,0.0,15393.378055000001,0,9532,PlushBunny won,1,no
24/11/2014 18:51:54,NoNameNoFace,DOMBAI,0.0,4759.2411440000005,5846,14006,DOMBAI won,1,no
24/11/2014 18:55:55,NoNameNoFace,DOMBAI,0.0,10068.968831999999,0,10630,DOMBAI won,1,no
24/11/2014 18:59:51,NoNameNoFace,OneLove,9449.096759999997,0.0,18200,361,NoNameNoFace won,3,no
24/11/2014 19:06:55,DOMBAI,OneLove,0.0,2065.694680080464,26421,10892,OneLove won,1,no
24/11/2014 19:07:18,PlushBunny,NoNameNoFace,4020.3668775006886,0.0,12210,12374,PlushBunny won,1,no
24/11/2014 19:10:09,OneLove,DOMBAI,0.0,10708.654384000001,0,19262,DOMBAI won,1,no
24/11/2014 19:11:22,PlushBunny,NoNameNoFace,15138.548795000002,0.0,10249,0,PlushBunny won,2,no
24/11/2014 19:15:39,DOMBAI,OneLove,15.233856,0.0,8008,11295,DOMBAI won,1,no
24/11/2014 19:16:52,NoNameNoFace,PlushBunny,0.0,3280.1528384053117,8413,14174,PlushBunny won,2,no
24/11/2014 19:19:33,OneLove,DOMBAI,2812.9661760089402,0.0,13898,5644,OneLove won,1,no
24/11/2014 19:22:27,OneLove,NoNameNoFace,0.0,9946.19032,0,6429,NoNameNoFace won,2,no
24/11/2014 19:26:42,DOMBAI,NoNameNoFace,11004.296368,0.0,13556,0,DOMBAI won,1,no
24/11/2014 19:28:39,PlushBunny,OneLove,5429.517933178823,0.0,16561,7627,PlushBunny won,2,no
24/11/2014 19:40:21,PlushBunny,OneLove,0.0,5198.114496014901,3916,11892,OneLove won,2,no
24/11/2014 19:40:34,TAR4OK,RedAngeL,0.0,342.89456000000075,6333,5113,RedAngeL won,3,no
24/11/2014 19:41:07,DOMBAI,NoNameNoFace,4883.9666320000015,0.0,19335,5992,DOMBAI won,1,no
24/11/2014 19:44:21,PlushBunny,OneLove,13490.0,0.0,8361,0,PlushBunny won,2,no
24/11/2014 19:44:58,TAR4OK,NoNameNoFace,0.0,9964.0,0,7896,NoNameNoFace won,3,no
24/11/2014 19:49:20,PlushBunny,OneLove,0.0,1184.805568011921,6390,13346,OneLove won,2,no
24/11/2014 19:53:12,OneLove,TAR4OK,5275.4792,0.0,3670,0,OneLove won,2,no
24/11/2014 19:58:35,OneLove,PlushBunny,2790.278960002981,0.0,13276,9167,OneLove won,2,no
24/11/2014 20:02:16,DOMBAI,OneLove,6840.193984,0.0,10472,4018,DOMBAI won,2,no
24/11/2014 20:05:52,OneLove,TAR4OK,0.0,4548.0,0,6167,TAR4OK won,2,no
24/11/2014 20:11:18,DOMBAI,OneLove,0.0,5412.38336,0,10738,OneLove won,2,no
24/11/2014 20:15:44,OneLove,YpuBaTeJIb,4609.0542399999995,0.0,7375,285,OneLove won,2,no
24/11/2014 20:18:57,OneLove,PlushBunny,0.0,13430.0,0,7245,PlushBunny won,2,no
24/11/2014 20:23:53,YpuBaTeJIb,OneLove,0.0,5960.0,0,7216,OneLove won,1,no
24/11/2014 20:26:51,YpuBaTeJIb,OneLove,0.0,0.0,0,0,YpuBaTeJIb default,2,no
24/11/2014 20:28:24,YpuBaTeJIb,OneLove,0.0,0.0,0,0,YpuBaTeJIb default,1,no
24/11/2014 21:01:21,NoNameNoFace,Lolka,2082.1549039999995,0.0,7402,9346,NoNameNoFace won,3,no
24/11/2014 21:05:07,Lolka,NoNameNoFace,0.0,6383.481992,3978,4998,NoNameNoFace won,3,no
24/11/2014 21:09:06,Lolka,NoNameNoFace,0.0,10448.0,0,5597,NoNameNoFace won,2,no
24/11/2014 21:12:09,Lolka,NoNameNoFace,0.0,9653.219391999999,811,4696,NoNameNoFace won,2,no
24/11/2014 22:22:43,TAR4OK,RedAngeL,4548.0,0.0,7933,0,TAR4OK won,2,no
24/11/2014 22:24:17,QRY,HEJIEIIOCTb,0.0,3981.0023040163906,7464,10733,HEJIEIIOCTb won,3,no
24/11/2014 22:26:29,TAR4OK,RedAngeL,1954.5204770000003,0.0,7437,2800,TAR4OK won,2,no
24/11/2014 22:29:23,HEJIEIIOCTb,QRY,0.0,706.0020999999992,10320,11690,QRY won,3,no
24/11/2014 22:30:15,TAR4OK,RedAngeL,1054.158517999999,0.0,8185,3832,TAR4OK won,3,no
24/11/2014 22:33:18,QRY,HEJIEIIOCTb,0.0,10493.0,0,10908,HEJIEIIOCTb won,3,no
24/11/2014 22:34:15,RedAngeL,TAR4OK,0.0,2310.9471589999994,2384,7465,TAR4OK won,2,no
24/11/2014 22:36:37,HEJIEIIOCTb,QRY,0.0,9738.0,0,11833,QRY won,3,no
24/11/2014 22:37:51,TAR4OK,RedAngeL,3426.262402,0.0,7879,1268,TAR4OK won,2,no
24/11/2014 22:40:33,HEJIEIIOCTb,QRY,10493.0,0.0,10761,0,HEJIEIIOCTb won,3,no
24/11/2014 22:41:17,RedAngeL,TAR4OK,6950.0,0.0,4662,0,RedAngeL won,2,no
24/11/2014 22:44:22,QRY,HEJIEIIOCTb,9738.0,0.0,12113,0,QRY won,3,no
24/11/2014 22:45:06,TAR4OK,RedAngeL,3934.3528100000003,0.0,7940,754,TAR4OK won,2,no
24/11/2014 22:48:14,HEJIEIIOCTb,QRY,10493.0,0.0,10618,0,HEJIEIIOCTb won,3,no
25/11/2014 19:46:20,OneLove,OneLoveOneShot,2117.445040059608,0.0,32095,24768,OneLove won,3,no
25/11/2014 19:53:33,OneLove,OneLoveOneShot,6025.80160000298,0.0,5519,2661,OneLove won,3,no
25/11/2014 19:59:34,OneLove,OneLoveOneShot,2754.166592008942,0.0,20749,13574,OneLove won,2,no
25/11/2014 23:48:41,MankyMonk,PlushBunny,0.0,6806.4994051549775,8438,10632,PlushBunny won,2,no
25/11/2014 23:53:43,MankyMonk,PlushBunny,3464.810000417243,0.0,12883,7265,MankyMonk won,3,no
26/11/2014 18:15:16,Rainmaiker,DOMBAI,0.0,10411.562696,327,9401,DOMBAI won,2,no
26/11/2014 18:18:17,Rainmaiker,DOMBAI,7187.0,0.0,8926,0,Rainmaiker won,2,no
26/11/2014 18:22:30,Rainmaiker,DOMBAI,0.0,7186.832256,1197,8229,DOMBAI won,2,no
26/11/2014 18:26:02,DOMBAI,Rainmaiker,0.0,7187.0,0,11447,Rainmaiker won,2,no
26/11/2014 18:29:34,DOMBAI,Rainmaiker,6505.204928,0.0,7677,2493,DOMBAI won,2,no
26/11/2014 18:33:56,DOMBAI,Rainmaiker,0.0,4545.050368,6406,9494,Rainmaiker won,2,no
26/11/2014 18:38:50,DOMBAI,Rainmaiker,8628.774591999998,0.0,5879,1021,DOMBAI won,2,no
26/11/2014 18:42:01,DOMBAI,Rainmaiker,0.0,7187.0,0,7772,Rainmaiker won,2,no
26/11/2014 18:46:32,DOMBAI,Rainmaiker,1582.5315040000014,0.0,20443,9303,DOMBAI won,2,no
26/11/2014 18:50:43,DOMBAI,Rainmaiker,0.0,4520.037776,11388,12481,Rainmaiker won,2,no
26/11/2014 18:55:06,DOMBAI,Rainmaiker,10540.0,0.0,8102,0,DOMBAI won,2,no
26/11/2014 20:09:18,Rainmaiker,MankyMonk,0.0,7768.258400083451,6163,18257,MankyMonk won,3,no
26/11/2014 20:14:00,Rainmaiker,MankyMonk,5886.050316000003,0.0,14471,447,Rainmaiker won,2,no
26/11/2014 20:18:41,Rainmaiker,MankyMonk,3538.3850160000025,0.0,13138,13629,Rainmaiker won,3,no
26/11/2014 20:22:12,MankyMonk,Rainmaiker,9268.6192,0.0,7904,4317,MankyMonk won,3,no
26/11/2014 21:08:35,Rainmaiker,MankyMonk,1151.0786960000003,0.0,16200,6602,Rainmaiker won,3,no
26/11/2014 21:11:36,MankyMonk,Rainmaiker,0.0,0.0,0,0,MankyMonk crash,3,no
